,years_total,climbs_total,pitches_total,route_mean,route_max,boulder_mean,boulder_max,danger_factor,solos,hardest_solo,trad_count,sport_count,locations,success,quarter_max1,quarter_max2,quarter_max3,quarter_max4
0,89 days 00:00:00.000000000,10,10,9.02,10.1,,,0.0,0,,0,10,7,0,10.1,,,
0,35 days 00:00:00.000000000,11,11,8.354545454545454,10.3,,,0.36363636363636365,0,,11,0,3,0,10.3,,,
0,0 days 00:00:00.000000000,4,4,7.575,9.8,,,0.0,0,,0,4,2,0,9.8,,,
0,3737 days 00:00:00.000000000,213,349,6.738497652582157,11.3,,,0.04225352112676056,0,,118,93,58,9,11.0,11.3,10.7,10.2
0,3294 days 00:00:00.000000000,112,167,5.457352941176471,10.1,0.21333333333333335,2.2,0.11607142857142858,3,0.0,56,11,38,5,8.5,10.1,8.5,8.5
0,316 days 00:00:00.000000000,17,23,7.711764705882352,10.0,,,0.058823529411764705,0,,13,5,10,10,10.0,,,
0,92 days 00:00:00.000000000,12,16,8.566666666666666,10.0,,,0.0,0,,1,11,6,1,10.0,,,
0,76 days 00:00:00.000000000,20,20,8.6625,10.0,1.1833333333333333,2.8,0.0,0,,1,7,7,2,10.0,,,
0,564 days 00:00:00.000000000,16,21,8.1,10.0,,,0.25,0,,11,6,10,0,10.0,,,
0,0 days 00:00:00.000000000,1,1,8.5,8.5,,,0.0,0,,0,1,1,0,8.5,,,
0,394 days 00:00:00.000000000,16,16,7.6625,10.0,,,0.0625,0,,1,15,6,3,10.0,,,
0,345 days 00:00:00.000000000,17,17,7.329411764705882,10.0,,,0.0,0,,1,16,7,10,10.0,,,
0,318 days 00:00:00.000000000,2,2,5.0,6.0,,,0.0,0,,2,0,2,0,6.0,,,
0,12 days 00:00:00.000000000,5,5,,,1.36,2.2,0.0,0,,0,0,1,0,2.2,,,
0,62 days 00:00:00.000000000,2,2,9.5,9.5,0.0,0.0,0.0,0,,1,0,2,1,9.5,,,
0,23 days 00:00:00.000000000,10,10,8.05,10.0,,,0.1,0,,5,6,3,7,10.0,,,
0,24 days 00:00:00.000000000,3,35,10.166666666666666,11.0,,,0.0,0,,0,3,2,2,11.0,,,
0,185 days 00:00:00.000000000,17,17,8.088235294117647,10.9,,,0.0,0,,0,17,9,0,10.9,,,
0,0 days 00:00:00.000000000,5,5,8.879999999999999,10.9,,,0.0,0,,3,2,3,0,10.9,,,
0,0 days 00:00:00.000000000,7,7,8.933333333333332,11.0,0.0,0.0,0.0,1,0.0,0,1,3,0,11.0,,,
0,11 days 00:00:00.000000000,3,3,7.5,8.5,,,0.0,0,,1,2,2,0,8.5,,,
0,0 days 00:00:00.000000000,1,1,9.5,9.5,,,0.0,0,,0,1,1,0,9.5,,,
0,29 days 00:00:00.000000000,9,10,7.311111111111111,10.0,,,0.0,0,,0,9,1,0,10.0,,,
0,630 days 00:00:00.000000000,49,49,9.944444444444445,11.3,4.624999999999998,6.2,0.10204081632653061,0,,0,9,44,4,6.2,11.3,10.3,
0,0 days 00:00:00.000000000,1,1,,,0.0,0.0,0.0,1,0.0,0,0,1,0,0.0,,,
0,0 days 00:00:00.000000000,2,3,4.0,5.0,,,0.0,0,,1,1,1,0,5.0,,,
0,103 days 00:00:00.000000000,23,26,9.247826086956522,11.6,,,0.0,0,,4,19,9,13,11.6,10.6,,
0,41 days 00:00:00.000000000,8,8,10.462499999999999,11.6,,,0.0,0,,0,8,3,6,11.6,,,
0,508 days 00:00:00.000000000,3,3,10.0,10.0,1.6,3.2,0.6666666666666666,0,,1,0,3,0,10.0,,,
0,200 days 00:00:00.000000000,25,25,11.224,12.3,,,0.08,0,,14,11,12,10,12.3,12.0,,
0,0 days 00:00:00.000000000,2,2,7.5,8.0,,,0.0,0,,2,0,1,0,8.0,,,
0,651 days 00:00:00.000000000,28,41,7.373684210526315,9.8,,,0.07142857142857142,0,,14,7,14,5,9.8,8.5,,
0,2668 days 00:00:00.000000000,124,136,9.809677419354836,13.0,,,0.008064516129032258,0,,12,113,39,4,11.9,12.0,12.0,13.0
0,3016 days 00:00:00.000000000,190,200,8.249484536082472,11.2,3.956989247311823,7.2,0.0,0,,6,83,77,8,9.8,10.7,11.2,10.0
0,2 days 00:00:00.000000000,4,4,7.75,10.0,,,0.0,0,,3,0,2,0,10.0,,,
0,1981 days 00:00:00.000000000,24,36,6.604166666666667,9.5,,,0.125,0,,12,13,15,12,9.5,8.5,,
0,21 days 00:00:00.000000000,10,10,9.799999999999999,11.7,,,0.0,0,,0,10,4,1,11.7,,,
0,565 days 00:00:00.000000000,10,10,9.16,10.6,,,0.0,0,,0,10,6,5,10.6,,,
0,0 days 00:00:00.000000000,1,1,10.0,10.0,,,0.0,0,,0,1,1,1,10.0,,,
0,70 days 00:00:00.000000000,6,6,7.125,8.5,0.0,0.0,0.5,0,,2,0,4,0,8.5,,,
0,80 days 00:00:00.000000000,6,6,,,0.7666666666666667,2.2,0.0,1,1.2,0,0,4,0,2.2,,,
0,1 days 00:00:00.000000000,3,3,8.0,9.5,,,0.0,0,,0,3,2,0,9.5,,,
0,376 days 00:00:00.000000000,112,173,9.742857142857142,11.9,,,0.03571428571428571,0,,45,68,50,34,11.2,11.0,11.9,11.5
0,3 days 00:00:00.000000000,4,4,10.15,10.3,,,0.0,0,,0,4,2,0,10.3,,,
0,0 days 00:00:00.000000000,4,5,7.075,9.8,,,0.0,2,5.0,4,0,2,0,9.8,,,
0,151 days 00:00:00.000000000,14,15,8.071428571428571,10.9,,,0.0,0,,1,13,9,0,10.9,,,
0,112 days 00:00:00.000000000,15,16,9.166666666666666,10.9,,,0.13333333333333333,0,,1,14,5,0,10.9,,,
0,134 days 00:00:00.000000000,4,4,6.625,8.5,,,0.5,0,,1,3,4,0,8.5,,,
0,858 days 00:00:00.000000000,141,266,9.298507462686567,12.1,,,0.03546099290780142,0,,87,53,80,0,11.0,11.9,11.3,11.4
0,7 days 00:00:00.000000000,4,4,6.85,10.4,,,0.75,0,,2,0,2,0,10.4,,,
0,660 days 00:00:00.000000000,87,107,9.62638888888889,12.0,1.3066666666666664,4.2,0.0,0,,12,60,42,44,11.0,11.3,10.6,12.0
