,years_total,climbs_total,pitches_total,route_mean,route_max,boulder_mean,boulder_max,danger_factor,solos,hardest_solo,trad_count,sport_count,locations,success,quarter_max1,quarter_max2,quarter_max3,quarter_max4
0,0 days 00:00:00.000000000,6,6,9.783333333333333,11.0,,,0.0,0,,0,6,4,0,11.0,,,
0,0 days 00:00:00.000000000,3,3,9.333333333333334,10.0,,,0.0,0,,3,0,1,3,10.0,,,
0,102 days 00:00:00.000000000,8,10,8.1,10.7,,,0.0,0,,3,7,5,0,10.7,,,
0,0 days 00:00:00.000000000,1,1,9.5,9.5,,,0.0,0,,0,1,1,0,9.5,,,
0,365 days 00:00:00.000000000,13,13,8.776923076923076,10.0,,,0.0,0,,0,13,3,4,10.0,,,
0,2637 days 00:00:00.000000000,23,23,,,3.1130434782608707,8.2,0.043478260869565216,0,,0,0,16,0,8.2,1.8,,
0,0 days 00:00:00.000000000,1,1,,,,,0.0,0,,1,0,1,0,,,,
0,13 days 00:00:00.000000000,4,4,7.4,8.8,,,0.0,0,,2,3,3,0,8.8,,,
0,0 days 00:00:00.000000000,1,1,7.5,7.5,,,0.0,0,,0,1,1,1,7.5,,,
0,153 days 00:00:00.000000000,18,18,9.087499999999999,11.2,4.1,5.2,0.0,0,,0,16,7,11,11.2,,,
0,374 days 00:00:00.000000000,27,30,8.092307692307692,10.7,0.0,0.0,0.037037037037037035,4,10.7,6,17,15,2,10.7,9.5,,
0,1 days 00:00:00.000000000,2,2,,,6.7,7.2,0.0,0,,0,0,1,0,7.2,,,
0,0 days 00:00:00.000000000,2,2,8.75,9.0,,,0.0,0,,0,2,1,2,9.0,,,
0,0 days 00:00:00.000000000,3,3,9.866666666666667,10.3,,,0.0,0,,0,3,3,0,10.3,,,
0,0 days 00:00:00.000000000,1,1,,,2.2,2.2,0.0,0,,0,0,1,0,2.2,,,
0,8 days 00:00:00.000000000,3,7,7.833333333333333,9.5,,,0.0,0,,2,0,1,0,9.5,,,
0,27 days 00:00:00.000000000,22,22,8.72,10.8,1.8941176470588232,4.2,0.045454545454545456,17,4.2,0,5,15,2,10.8,8.5,,
0,0 days 00:00:00.000000000,1,1,,,3.2,3.2,0.0,0,,0,0,1,0,3.2,,,
0,0 days 00:00:00.000000000,1,1,,,5.2,5.2,0.0,0,,0,0,1,0,5.2,,,
0,119 days 00:00:00.000000000,23,25,8.334782608695651,10.3,,,0.0,0,,2,21,13,0,10.3,10.0,,
0,683 days 00:00:00.000000000,49,50,10.342857142857147,12.0,,,0.0,0,,0,49,26,8,11.9,12.0,10.6,
0,1366 days 00:00:00.000000000,79,92,9.624050632911393,11.6,,,0.0,0,,7,73,29,43,11.6,11.3,11.3,11.6
0,140 days 00:00:00.000000000,26,26,8.590909090909092,11.0,0.9733333333333332,3.2,0.0,0,,0,11,8,1,11.0,9.5,,
0,931 days 00:00:00.000000000,4,11,9.85,11.0,,,0.0,0,,3,1,4,3,11.0,,,
0,19 days 00:00:00.000000000,7,8,10.042857142857143,11.0,,,0.0,0,,0,7,3,0,11.0,,,
0,2221 days 00:00:00.000000000,603,1253,8.025217391304356,11.6,,,0.06301824212271974,11,5.0,441,155,146,23,11.0,11.6,10.6,11.6
0,207 days 00:00:00.000000000,4,4,11.45,12.3,,,0.0,0,,0,4,4,0,12.3,,,
0,0 days 00:00:00.000000000,1,1,10.9,10.9,,,0.0,0,,0,1,1,0,10.9,,,
0,1823 days 00:00:00.000000000,4,19,6.875,8.5,,,0.5,0,,3,1,4,0,8.5,,,
