,years_total,climbs_total,pitches_total,route_mean,route_max,boulder_mean,boulder_max,danger_factor,solos,hardest_solo,trad_count,sport_count,locations,success,quarter_max1,quarter_max2,quarter_max3,quarter_max4
0,0 days 00:00:00.000000000,1,1,11.6,11.6,,,0.0,0,,0,0,1,0,11.6,,,
0,838 days 00:00:00.000000000,6,6,11.875,12.6,7.0,7.2,0.0,0,,0,4,3,1,12.6,,,
0,478 days 00:00:00.000000000,32,33,5.806451612903226,8.5,0.0,0.0,0.0625,0,,1,30,7,2,8.5,7.5,,
0,0 days 00:00:00.000000000,3,3,5.0,9.0,,,0.0,0,,0,0,2,0,9.0,,,
0,1117 days 00:00:00.000000000,32,46,9.359375000000002,11.9,,,0.03125,0,,15,17,17,23,11.9,11.6,,
0,233 days 00:00:00.000000000,25,25,8.320833333333335,11.6,2.0,2.0,0.08,0,,12,12,10,4,11.6,11.3,,
0,397 days 00:00:00.000000000,45,88,9.524444444444445,11.9,,,0.08888888888888889,0,,17,28,16,14,11.3,11.9,10.3,
0,79 days 00:00:00.000000000,7,22,9.242857142857144,10.7,,,0.0,0,,4,3,6,0,10.7,,,
0,1071 days 00:00:00.000000000,10,15,6.0,7.0,,,0.2,0,,8,0,6,1,7.0,,,
0,43 days 00:00:00.000000000,12,12,8.566666666666666,10.3,,,0.0,0,,0,12,7,3,10.3,,,
0,2 days 00:00:00.000000000,6,10,8.35,8.8,,,0.0,0,,3,3,2,0,8.8,,,
0,372 days 00:00:00.000000000,4,4,7.266666666666667,8.8,1.5,1.5,0.0,0,,2,1,2,0,8.8,,,
0,0 days 00:00:00.000000000,1,1,8.5,8.5,,,0.0,0,,0,1,1,0,8.5,,,
0,0 days 00:00:00.000000000,1,1,,,7.8,7.8,0.0,0,,0,0,1,0,7.8,,,
0,49 days 00:00:00.000000000,3,15,8.0,8.5,,,0.0,0,,3,0,3,0,8.5,,,
0,0 days 00:00:00.000000000,1,1,,,2.2,2.2,0.0,0,,0,0,1,0,2.2,,,
0,0 days 00:00:00.000000000,1,5,7.0,7.0,,,0.0,0,,0,1,1,0,7.0,,,
0,174 days 00:00:00.000000000,9,9,7.625,10.2,0.0,0.0,0.0,2,4.0,1,2,4,0,10.2,,,
0,0 days 00:00:00.000000000,7,7,10.1,12.0,,,0.42857142857142855,0,,5,0,1,0,12.0,,,
0,0 days 00:00:00.000000000,1,1,6.0,6.0,,,0.0,0,,0,1,1,1,6.0,,,
0,351 days 00:00:00.000000000,24,24,7.25,8.5,0.7,7.0,0.0,1,8.0,1,5,15,0,8.5,1.2,,
0,99 days 00:00:00.000000000,94,97,10.141489361702126,12.2,,,0.0,3,7.0,0,94,22,58,12.2,11.0,11.0,12.2
0,131 days 00:00:00.000000000,79,84,9.537974683544302,11.9,,,0.02531645569620253,0,,15,65,36,43,11.9,11.5,11.0,10.9
0,756 days 00:00:00.000000000,9,9,11.700000000000001,11.9,5.533333333333334,7.2,0.0,0,,0,3,9,0,11.9,,,
0,2 days 00:00:00.000000000,2,2,5.0,5.0,,,0.0,0,,2,0,1,0,5.0,,,
0,7 days 00:00:00.000000000,6,6,8.459999999999999,10.0,1.2,1.2,0.0,0,,1,0,2,0,10.0,,,
0,310 days 00:00:00.000000000,13,13,8.692307692307692,10.8,,,0.0,0,,1,12,7,12,10.8,,,
0,48 days 00:00:00.000000000,3,4,8.0,9.5,,,0.0,0,,3,0,2,3,9.5,,,
0,42 days 00:00:00.000000000,55,83,8.352727272727275,12.0,,,0.01818181818181818,0,,44,11,21,3,12.0,10.0,10.3,
0,8929 days 00:00:00.000000000,9,9,10.8125,12.6,2.5,2.5,0.0,0,,3,4,9,0,12.6,,,
0,175 days 00:00:00.000000000,24,25,8.899999999999999,10.8,2.033333333333333,4.2,0.041666666666666664,1,7.0,0,8,11,0,10.8,9.8,,
0,0 days 00:00:00.000000000,1,1,6.0,6.0,,,0.0,0,,0,1,1,1,6.0,,,
0,805 days 00:00:00.000000000,14,22,9.078571428571427,10.3,,,0.0,0,,14,0,10,3,10.3,,,
0,28 days 00:00:00.000000000,9,9,8.377777777777778,10.6,,,0.0,0,,2,7,2,2,10.6,,,
0,1 days 00:00:00.000000000,5,5,4.5,8.5,,,0.0,1,3.0,1,4,1,0,8.5,,,
0,63 days 00:00:00.000000000,6,9,5.5,8.5,1.0666666666666667,3.2,0.0,3,3.2,3,0,3,0,8.5,,,
0,434 days 00:00:00.000000000,14,14,10.157142857142857,11.0,,,0.0,0,,0,14,8,5,11.0,,,
0,233 days 00:00:00.000000000,4,4,,,1.8,2.8,0.5,1,2.2,0,0,4,0,2.8,,,
0,0 days 00:00:00.000000000,1,1,,,0.0,0.0,0.0,0,,0,0,1,0,0.0,,,
0,77 days 00:00:00.000000000,5,16,9.76,10.7,,,0.0,0,,0,5,5,0,10.7,,,
0,335 days 00:00:00.000000000,3,3,,,4.066666666666666,5.2,0.0,0,,0,0,1,0,5.2,,,
0,0 days 00:00:00.000000000,7,7,,,4.285714285714286,7.2,0.0,0,,0,0,3,0,7.2,,,
0,5 days 00:00:00.000000000,2,14,9.0,9.5,,,0.0,0,,2,0,2,0,9.5,,,
0,203 days 00:00:00.000000000,12,15,7.658333333333332,10.8,,,0.08333333333333333,0,,7,2,7,2,10.8,,,
0,0 days 00:00:00.000000000,2,3,6.0,7.0,,,0.5,0,,2,0,1,0,7.0,,,
0,49 days 00:00:00.000000000,3,4,1.1333333333333335,1.2,,,0.0,3,1.2,0,0,2,0,1.2,,,
0,6 days 00:00:00.000000000,3,3,,,1.7333333333333334,2.8,0.0,0,,0,0,2,0,2.8,,,
0,10 days 00:00:00.000000000,21,21,8.69047619047619,9.5,,,0.0,0,,0,13,3,3,9.5,7.0,,
0,357 days 00:00:00.000000000,2,8,8.4,9.8,,,1.0,0,,2,0,2,0,9.8,,,
0,10 days 00:00:00.000000000,5,5,8.620000000000001,11.1,,,0.0,0,,0,5,3,1,11.1,,,
0,0 days 00:00:00.000000000,2,2,,,0.0,0.0,0.0,0,,0,0,2,0,0.0,,,
0,6794 days 00:00:00.000000000,241,539,9.496234309623434,11.6,,,0.05394190871369295,0,,240,2,107,3,10.4,11.6,11.4,11.4
0,296 days 00:00:00.000000000,9,9,8.288888888888888,10.6,,,0.0,0,,2,7,5,0,10.6,,,
0,446 days 00:00:00.000000000,81,93,7.251851851851853,10.9,,,0.08641975308641975,0,,42,41,34,30,10.9,10.9,8.8,10.0
0,0 days 00:00:00.000000000,9,9,9.577777777777776,10.5,,,0.0,0,,0,9,5,0,10.5,,,
0,0 days 00:00:00.000000000,1,1,10.3,10.3,,,1.0,0,,0,0,1,0,10.3,,,
0,32 days 00:00:00.000000000,20,20,9.125,10.3,1.35625,3.2,0.05,1,3.2,0,4,10,3,10.3,,,
0,0 days 00:00:00.000000000,5,5,8.62,10.3,,,0.0,0,,0,5,2,2,10.3,,,
0,18 days 00:00:00.000000000,5,7,,,2.6,3.8,0.2,0,,0,0,3,0,3.8,,,
0,308 days 00:00:00.000000000,4,4,8.95,10.3,,,0.0,0,,0,4,2,0,10.3,,,
0,14 days 00:00:00.000000000,8,10,6.875,9.5,,,0.125,0,,5,3,2,0,9.5,,,
0,196 days 00:00:00.000000000,26,36,8.868421052631579,11.4,4.357142857142858,10.4,0.038461538461538464,2,10.4,14,4,11,7,11.0,11.4,,
0,0 days 00:00:00.000000000,1,1,9.0,9.0,,,0.0,0,,0,1,1,1,9.0,,,
0,0 days 00:00:00.000000000,1,1,10.3,10.3,,,0.0,0,,0,1,1,1,10.3,,,
0,0 days 00:00:00.000000000,1,2,10.3,10.3,,,0.0,0,,0,1,1,0,10.3,,,
0,155 days 00:00:00.000000000,30,36,9.883333333333333,11.6,,,0.0,0,,0,30,16,25,11.6,11.3,,
