,years_total,climbs_total,pitches_total,route_mean,route_max,boulder_mean,boulder_max,danger_factor,solos,hardest_solo,trad_count,sport_count,locations,success,quarter_max1,quarter_max2,quarter_max3,quarter_max4
0,6 days 00:00:00.000000000,3,3,8.333333333333334,9.5,,,0.0,0,,0,3,1,0,9.5,,,
0,1593 days 00:00:00.000000000,18,54,9.505555555555556,11.4,,,0.05555555555555555,0,,8,11,12,13,11.4,,,
0,28 days 00:00:00.000000000,3,3,9.7,10.2,,,0.0,0,,0,3,1,0,10.2,,,
0,529 days 00:00:00.000000000,13,22,7.961538461538462,10.0,,,0.0,0,,6,8,11,6,10.0,,,
0,0 days 00:00:00.000000000,1,2,10.5,10.5,,,0.0,0,,0,1,1,0,10.5,,,
0,62 days 00:00:00.000000000,9,11,8.911111111111111,10.7,,,0.0,0,,0,9,4,4,10.7,,,
0,2 days 00:00:00.000000000,9,9,7.477777777777778,9.5,,,0.0,0,,0,9,3,0,9.5,,,
0,1 days 00:00:00.000000000,3,3,9.366666666666667,10.6,,,0.0,0,,0,3,1,1,10.6,,,
0,4824 days 00:00:00.000000000,301,714,9.081749049429657,12.3,1.5368421052631587,4.2,0.12624584717607973,0,,216,50,151,11,12.3,12.0,12.1,11.6
0,29 days 00:00:00.000000000,5,5,8.82,10.6,,,0.0,0,,1,3,3,0,10.6,,,
0,0 days 00:00:00.000000000,1,1,10.6,10.6,,,0.0,0,,0,1,1,0,10.6,,,
0,2 days 00:00:00.000000000,5,5,8.62,10.3,,,0.0,0,,1,4,2,1,10.3,,,
0,3619 days 00:00:00.000000000,105,469,10.02788461538461,12.4,,,0.08571428571428572,0,,99,3,70,1,12.4,11.7,11.3,11.4
0,0 days 00:00:00.000000000,2,2,7.75,8.5,,,0.0,0,,0,2,1,0,8.5,,,
0,1602 days 00:00:00.000000000,436,649,9.591264367816102,13.4,0.0,0.0,0.052752293577981654,4,11.0,308,136,115,116,12.1,12.4,11.9,10.7
0,7 days 00:00:00.000000000,8,8,8.075,10.0,,,0.0,0,,2,4,3,0,10.0,,,
0,21 days 00:00:00.000000000,8,8,7.3125,8.5,,,0.0,0,,1,7,6,0,8.5,,,
0,70 days 00:00:00.000000000,4,12,7.75,8.5,,,0.0,0,,4,0,4,0,8.5,,,
0,6 days 00:00:00.000000000,9,9,7.066666666666666,10.6,,,0.0,0,,5,4,6,1,10.6,,,
0,14 days 00:00:00.000000000,6,6,6.416666666666667,8.5,,,0.0,0,,0,6,4,0,8.5,,,
0,4847 days 00:00:00.000000000,15,23,9.166666666666666,10.0,,,0.0,0,,3,12,11,11,10.0,,,
0,7 days 00:00:00.000000000,2,2,9.15,9.8,,,0.0,0,,0,2,2,1,9.8,,,
0,51 days 00:00:00.000000000,9,9,9.366666666666667,9.8,1.3666666666666665,3.8,0.1111111111111111,1,0.0,0,3,3,0,9.8,,,
0,272 days 00:00:00.000000000,35,35,9.094285714285718,11.8,,,0.05714285714285714,0,,24,11,17,25,11.8,10.6,,
0,15 days 00:00:00.000000000,6,6,9.5,9.5,0.3,1.2,0.0,0,,0,2,2,0,9.5,,,
0,101 days 00:00:00.000000000,2,5,3.5,7.0,,,0.0,0,,2,0,2,0,7.0,,,
0,29 days 00:00:00.000000000,4,4,8.0,9.5,,,0.0,0,,0,4,3,3,9.5,,,
0,480 days 00:00:00.000000000,12,20,7.8,9.8,,,0.0,0,,0,12,6,9,9.8,,,
0,0 days 00:00:00.000000000,1,8,7.0,7.0,,,2.0,0,,1,0,1,1,7.0,,,
0,149 days 00:00:00.000000000,48,55,8.924242424242426,11.2,1.46,3.2,0.041666666666666664,0,,0,33,23,10,11.2,10.9,10.6,
0,118 days 00:00:00.000000000,19,24,8.157894736842104,10.7,,,0.0,0,,10,4,7,5,10.7,,,
0,326 days 00:00:00.000000000,82,145,9.492682926829268,12.0,,,0.036585365853658534,1,5.0,57,28,28,42,11.4,12.0,11.6,11.3
0,259 days 00:00:00.000000000,9,9,7.811111111111111,10.0,,,0.2222222222222222,0,,4,4,5,1,10.0,,,
0,0 days 00:00:00.000000000,1,1,6.0,6.0,,,0.0,0,,1,0,1,1,6.0,,,
0,309 days 00:00:00.000000000,56,83,7.63921568627451,11.1,1.8,3.2,0.017857142857142856,2,2.0,30,21,24,0,11.1,10.0,10.9,
0,2004 days 00:00:00.000000000,23,65,9.365217391304348,11.9,,,0.17391304347826086,0,,20,3,15,0,10.6,11.9,,
0,37 days 00:00:00.000000000,193,316,9.807518796992483,12.2,3.3616666666666646,7.2,0.11398963730569948,5,4.2,65,69,102,29,12.0,11.3,11.3,11.3
0,0 days 00:00:00.000000000,1,1,10.0,10.0,,,0.0,0,,0,0,1,0,10.0,,,
0,739 days 00:00:00.000000000,27,37,6.825925925925926,9.0,,,0.14814814814814814,0,,23,5,13,8,9.0,6.0,,
0,79 days 00:00:00.000000000,13,16,8.815384615384614,10.3,,,0.07692307692307693,0,,3,10,3,2,10.3,,,
0,1929 days 00:00:00.000000000,45,94,8.975555555555557,11.6,,,0.08888888888888889,0,,40,5,24,3,11.0,11.6,9.8,
0,0 days 00:00:00.000000000,1,1,9.5,9.5,,,0.0,0,,1,0,1,0,9.5,,,
0,46 days 00:00:00.000000000,5,5,9.84,10.9,,,0.0,0,,0,5,4,1,10.9,,,
0,0 days 00:00:00.000000000,1,1,10.6,10.6,,,0.0,0,,0,1,1,0,10.6,,,
0,44 days 00:00:00.000000000,9,9,9.888888888888888,10.9,,,0.0,0,,0,9,6,4,10.9,,,
0,0 days 00:00:00.000000000,7,7,7.071428571428571,10.0,,,0.2857142857142857,0,,6,1,3,0,10.0,,,
0,42 days 00:00:00.000000000,3,7,9.933333333333334,10.3,,,0.0,0,,2,2,2,0,10.3,,,
0,0 days 00:00:00.000000000,2,2,6.5,7.0,,,0.0,0,,2,0,1,0,7.0,,,
0,5 days 00:00:00.000000000,9,9,,,2.488888888888889,6.2,0.0,0,,0,0,4,0,6.2,,,
0,183 days 00:00:00.000000000,56,58,8.192857142857145,11.0,,,0.05357142857142857,1,4.0,35,16,11,19,10.3,11.0,10.6,
