,years_total,climbs_total,pitches_total,route_mean,route_max,boulder_mean,boulder_max,danger_factor,solos,hardest_solo,trad_count,sport_count,locations,success,quarter_max1,quarter_max2,quarter_max3,quarter_max4
0,0 days 00:00:00.000000000,2,3,7.75,8.5,,,0.0,0,,0,2,2,0,8.5,,,
0,0 days 00:00:00.000000000,3,3,8.5,9.5,,,0.0,0,,1,2,1,2,9.5,,,
0,0 days 00:00:00.000000000,1,1,9.0,9.0,,,0.0,0,,0,1,1,1,9.0,,,
0,761 days 00:00:00.000000000,6,9,8.466666666666667,10.0,,,0.16666666666666666,0,,0,6,5,0,10.0,,,
0,0 days 00:00:00.000000000,4,4,,,0.6,1.2,0.0,0,,0,0,1,0,1.2,,,
0,2191 days 00:00:00.000000000,16,16,10.800000000000002,12.0,3.9749999999999996,7.0,0.0,0,,0,12,7,1,12.0,,,
0,0 days 00:00:00.000000000,2,8,5.5,6.0,,,0.0,0,,2,0,1,0,6.0,,,
0,141 days 00:00:00.000000000,5,5,7.8,10.5,,,0.0,0,,1,4,4,0,10.5,,,
0,273 days 00:00:00.000000000,18,19,8.133333333333333,10.4,,,0.0,0,,0,18,7,0,10.4,,,
0,1206 days 00:00:00.000000000,24,53,7.412499999999999,11.0,,,0.041666666666666664,0,,23,1,15,0,11.0,8.5,,
0,1161 days 00:00:00.000000000,2,2,,,9.2,10.2,0.0,0,,0,0,2,0,10.2,,,
0,0 days 00:00:00.000000000,4,5,8.125,9.5,,,0.25,0,,0,4,3,3,9.5,,,
0,347 days 00:00:00.000000000,69,72,7.44375,11.0,1.7566037735849067,5.2,0.0,25,4.2,5,11,47,7,11.0,4.2,3.5,10.0
0,254 days 00:00:00.000000000,20,27,8.14,10.5,,,0.05,0,,7,13,5,6,10.5,,,
0,0 days 00:00:00.000000000,1,1,,,2.5,2.5,0.0,0,,0,0,1,0,2.5,,,
0,330 days 00:00:00.000000000,41,55,8.9075,11.0,1.2,1.2,0.12195121951219512,1,1.2,25,15,24,13,10.6,11.0,10.6,
0,1 days 00:00:00.000000000,2,2,9.25,9.5,,,0.0,0,,0,2,1,0,9.5,,,
0,1161 days 00:00:00.000000000,39,46,7.276923076923077,9.5,,,0.0,0,,18,22,18,5,9.5,9.5,,
0,0 days 00:00:00.000000000,1,7,10.3,10.3,,,0.0,0,,0,1,1,0,10.3,,,
0,6898 days 00:00:00.000000000,5,5,7.125,8.5,0.0,0.0,0.0,0,,0,4,4,0,8.5,,,
0,868 days 00:00:00.000000000,5,21,7.6,9.5,,,0.0,0,,5,0,4,0,9.5,,,
